"","word","vent","rev","model","uncond_ent","vmi","language"
"303","尔",4.13736135012214,"Lower","Baseline",5.59,1.45263864987785,"ZH"
"304","尘",4.6894126427896,"Lower","Baseline",5.59,0.900587357210396,"ZH"
"305","尚",4.20537721649775,"Lower","Baseline",5.59,1.38462278350225,"ZH"
"306","尝",4.63296965331573,"Lower","Baseline",5.59,0.957030346684268,"ZH"
"307","尤",4.60875334303326,"Lower","Baseline",5.59,0.981246656966741,"ZH"
"308","就",0.518275266918335,"Lower","Baseline",5.59,5.07172473308166,"ZH"
"309","尽",4.15678531288458,"Lower","Baseline",5.59,1.43321468711542,"ZH"
"310","尿",4.56674868576179,"Lower","Baseline",5.59,1.02325131423821,"ZH"
"311","居",4.54455405461664,"Lower","Baseline",5.59,1.04544594538336,"ZH"
"312","届",3.91190058235112,"Lower","Baseline",5.59,1.67809941764888,"ZH"
"313","展",4.71532641539564,"Lower","Baseline",5.59,0.874673584604357,"ZH"
"314","属",3.76866354723648,"Lower","Baseline",5.59,1.82133645276352,"ZH"
"315","山",4.15353483921451,"Lower","Baseline",5.59,1.43646516078549,"ZH"
"316","岁",2.60632169992726,"Lower","Baseline",5.59,2.98367830007274,"ZH"
"317","岗",4.26936224210816,"Lower","Baseline",5.59,1.32063775789184,"ZH"
"318","岛",4.04131619568406,"Lower","Baseline",5.59,1.54868380431594,"ZH"
"319","岸",4.77359464567109,"Lower","Baseline",5.59,0.816405354328912,"ZH"
"320","峰",4.58717456597602,"Lower","Baseline",5.59,1.00282543402398,"ZH"
"321","崇",4.67195064272061,"Lower","Baseline",5.59,0.918049357279394,"ZH"
"322","工",4.50981685789867,"Lower","Baseline",5.59,1.08018314210133,"ZH"
"323","己",4.48157663180712,"Lower","Baseline",5.59,1.10842336819288,"ZH"
"324","已",1.9434297089299,"Lower","Baseline",5.59,3.6465702910701,"ZH"
"325","巴",4.46915773328528,"Lower","Baseline",5.59,1.12084226671472,"ZH"
"326","币",4.53092581972837,"Lower","Baseline",5.59,1.05907418027163,"ZH"
"327","市",3.27433110405131,"Lower","Baseline",5.59,2.31566889594869,"ZH"
"328","布",4.36106888876172,"Lower","Baseline",5.59,1.22893111123828,"ZH"
"329","师",3.86432562821162,"Lower","Baseline",5.59,1.72567437178838,"ZH"
"330","希",4.61841943155444,"Lower","Baseline",5.59,0.971580568445562,"ZH"
"331","带",2.69480313710417,"Lower","Baseline",5.59,2.89519686289583,"ZH"
"332","常",4.20943378224754,"Lower","Baseline",5.59,1.38056621775246,"ZH"
"333","平",4.37724834823847,"Lower","Baseline",5.59,1.21275165176153,"ZH"
"334","年",0.552533726532454,"Lower","Baseline",5.59,5.03746627346755,"ZH"
"335","并",1.11085681654022,"Lower","Baseline",5.59,4.47914318345978,"ZH"
"336","床",4.51128075718549,"Lower","Baseline",5.59,1.07871924281451,"ZH"
